"Type","Class1Name","Class1Folder","Class1File","Class1Props","Class2Name","Class2Folder","Class2File","Class2Props","CommonProps","TypeMatches","Similarity"
"true_duplicate","EXCHANGE_CONTRACT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\EXCHANGE_CONTRACT.cs","0","EXCHANGE_CONTRACT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Trading\EXCHANGE_CONTRACT.cs","0","0","0","0"
"true_duplicate","OWNERSHIP_INTEREST","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Ownership\OWNERSHIP_INTEREST.cs","0","OWNERSHIP_INTEREST","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\OWNERSHIP_INTEREST.cs","0","0","0","0"
"true_duplicate","ROYALTY_CALCULATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\ROYALTY_CALCULATION.cs","0","ROYALTY_CALCULATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Royalty\ROYALTY_CALCULATION.cs","0","0","0","0"
"true_duplicate","PRICE_INDEX","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Pricing\PRICE_INDEX.cs","0","PRICE_INDEX","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\PRICE_INDEX.cs","0","0","0","0"
"true_duplicate","UNIT_AGREEMENT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\UNIT_AGREEMENT.cs","0","UNIT_AGREEMENT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Unitization\UNIT_AGREEMENT.cs","0","0","0","0"
"true_duplicate","NOMINATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Imbalance\NOMINATION.cs","0","NOMINATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\NOMINATION.cs","0","0","0","0"
"true_duplicate","PARTICIPATING_AREA","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\PARTICIPATING_AREA.cs","0","PARTICIPATING_AREA","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Unitization\PARTICIPATING_AREA.cs","0","0","0","0"
"true_duplicate","TRANSFER_ORDER","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Ownership\TRANSFER_ORDER.cs","0","TRANSFER_ORDER","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\TRANSFER_ORDER.cs","0","0","0","0"
"true_duplicate","DIVISION_ORDER","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Ownership\DIVISION_ORDER.cs","0","DIVISION_ORDER","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\DIVISION_ORDER.cs","0","0","0","0"
"true_duplicate","ACTUAL_DELIVERY","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Imbalance\ACTUAL_DELIVERY.cs","0","ACTUAL_DELIVERY","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\ACTUAL_DELIVERY.cs","0","0","0","0"
"true_duplicate","RUN_TICKET_VALUATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Pricing\RUN_TICKET_VALUATION.cs","0","RUN_TICKET_VALUATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\RUN_TICKET_VALUATION.cs","0","0","0","0"
"true_duplicate","SalesTransaction","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Accounting\SalesTransaction.cs","0","SALES_TRANSACTION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Accounting\SALES_TRANSACTION.cs","0","0","0","0"
"true_duplicate","ROYALTY_INTEREST","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\ROYALTY_INTEREST.cs","0","ROYALTY_INTEREST","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Royalty\ROYALTY_INTEREST.cs","0","0","0","0"
"true_duplicate","RECEIVABLE","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Accounting\RECEIVABLE.cs","0","RECEIVABLE","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\RECEIVABLE.cs","0","0","0","0"
"true_duplicate","MEASUREMENT_RECORD","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Measurement\MEASUREMENT_RECORD.cs","0","MEASUREMENT_RECORD","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\MEASUREMENT_RECORD.cs","0","0","0","0"
"true_duplicate","TRACT_PARTICIPATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\TRACT_PARTICIPATION.cs","0","TRACT_PARTICIPATION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Unitization\TRACT_PARTICIPATION.cs","0","0","0","0"
"true_duplicate","REGULATED_PRICE","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Pricing\REGULATED_PRICE.cs","0","REGULATED_PRICE","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\REGULATED_PRICE.cs","0","0","0","0"
"true_duplicate","EXCHANGE_COMMITMENT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\EXCHANGE_COMMITMENT.cs","0","EXCHANGE_COMMITMENT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Trading\EXCHANGE_COMMITMENT.cs","0","0","0","0"
"true_duplicate","ROYALTY_PAYMENT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\ROYALTY_PAYMENT.cs","0","ROYALTY_PAYMENT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Royalty\ROYALTY_PAYMENT.cs","0","0","0","0"
"structural_duplicate","CreateTankInventoryRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\Production\ProductionRequestDTOs.cs","6","CreateTankInventoryRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\TankInventoryDto.cs","21","6","6","46.15"
"structural_duplicate","CreateStorageFacilityRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Accounting\Storage\StorageRequestDTOs.cs","3","CreateStorageFacilityRequest","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\Storage\StorageDto.cs","37","3","3","10.34"
"structural_duplicate","SalesTransaction","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Accounting\SalesTransaction.cs","0","SalesTransactionDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\SalesDto.cs","51","0","0","0"
"structural_duplicate","SALES_TRANSACTION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Accounting\SALES_TRANSACTION.cs","0","SalesTransactionDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\SalesDto.cs","51","0","0","0"
"structural_duplicate","ROYALTY_INTEREST","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Royalty\ROYALTY_INTEREST.cs","0","RoyaltyInterestDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\RoyaltyDto.cs","69","0","0","0"
"structural_duplicate","GAS_COMPOSITION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Common\GAS_COMPOSITION.cs","0","GasCompositionDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\GasPropertiesDtos.cs","32","0","0","0"
"structural_duplicate","UNPROVED_PROPERTY","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Common\UNPROVED_PROPERTY.cs","0","UnprovedPropertyDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\PropertyModelsDto.cs","25","0","0","0"
"structural_duplicate","NODAL_ANALYSIS_RESULT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\NodalAnalysis\NODAL_ANALYSIS_RESULT.cs","0","NodalAnalysisResultDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\NodalAnalysisDtos.cs","24","0","0","0"
"structural_duplicate","SUCKER_ROD_SYSTEM_PROPERTIES","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\SuckerRodPumping\SUCKER_ROD_SYSTEM_PROPERTIES.cs","0","SuckerRodSystemProperties","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\SuckerRodPumping\SuckerRodSystemProperties.cs","16","0","0","0"
"structural_duplicate","GAS_COMPOSITION","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Common\GAS_COMPOSITION.cs","0","GasComposition","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\GasProperties\GasComposition.cs","11","0","0","0"
"structural_duplicate","DIVISION_ORDER","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\DIVISION_ORDER.cs","0","DivisionOrderDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\OwnershipModelsDto.cs","44","0","0","0"
"structural_duplicate","PRESSURE_TIME_POINT","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\WellTestAnalysis\PRESSURE_TIME_POINT.cs","0","PressureTimePoint","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\WellTestAnalysis\PressureTimePoint.cs","3","0","0","0"
"structural_duplicate","DIVISION_ORDER","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Ownership\DIVISION_ORDER.cs","0","DivisionOrderDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\OwnershipModelsDto.cs","44","0","0","0"
"structural_duplicate","STORAGE_FACILITY","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Storage\STORAGE_FACILITY.cs","0","StorageFacilityDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\StorageModelsDto.cs","49","0","0","0"
"structural_duplicate","LIQUID_PIPELINE_FLOW_PROPERTIES","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\PipelineAnalysis\LIQUID_PIPELINE_FLOW_PROPERTIES.cs","0","LiquidPipelineFlowProperties","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\PipelineAnalysis\LiquidPipelineFlowProperties.cs","5","0","0","0"
"structural_duplicate","PRODUCTION_AVAIL","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Imbalance\PRODUCTION_AVAIL.cs","0","ProductionAvailDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\ImbalanceDto.cs","18","0","0","0"
"structural_duplicate","ROYALTY_INTEREST","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Royalty\ROYALTY_INTEREST.cs","0","RoyaltyInterestDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\RoyaltyModelsDto.cs","34","0","0","0"
"structural_duplicate","PRODUCTION_AVAILS","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\ProductionAccounting\PRODUCTION_AVAILS.cs","0","ProductionAvailsDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\ImbalanceModelsDto.cs","51","0","0","0"
"structural_duplicate","ESP_MOTOR_PROPERTIES","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\PumpPerformance\ESP_MOTOR_PROPERTIES.cs","0","ESPMotorProperties","Models","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Models\PumpPerformance\ESPMotorProperties.cs","4","0","0","0"
"structural_duplicate","FEE_MINERAL_LEASE","Data","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\Data\Lease\FEE_MINERAL_LEASE.cs","0","FeeMineralLeaseDto","DTOs","C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.Models\DTOs\ProductionAccounting\LeaseModelsDto.cs","45","0","0","0"
