ANL_ANALYSIS_BATCH,BATCH_ID,ANL_SAMPLE,BATCH_ID,BATCH_ID,"ANALYSIS_ID,ANL_SOURCE,SAMPLE_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",BA_ORGANIZATION_COMP,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","BUSINESS_ASSOCIATE_ID,ORGANIZATION_ID,ORGANIZATION_SEQ_NO,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",CLASS_LEVEL_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","CLASSIFICATION_SYSTEM_ID,CLASS_LEVEL_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",CONSENT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","CONSENT_ID,COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",CONSULT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","CONSULT_ID,COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",CONTEST_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","CONTEST_ID,COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",CONTRACT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","CONTRACT_ID,COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",ENT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","ENTITLEMENT_ID,COMPONENT_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",EQUIPMENT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","EQUIPMENT_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",FACILITY_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","FACILITY_ID,FACILITY_TYPE,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",FIELD_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","FIELD_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",FIN_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","FINANCE_ID,FINANCE_COMPONENT_ID"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",HSE_INCIDENT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","INCIDENT_ID,COMPONENT_OBS_NO"
ANL_ANALYSIS_REPORT,"ANALYSIS_ID,ANL_SOURCE",INSTRUMENT_COMPONENT,"ANALYSIS_ID,ANL_SOURCE","ANALYSIS_ID,SAMPLE_ANAL_SOURCE","INSTRUMENT_ID,COMPONENT_OBS_NO"
